address,gft_balance
0x44258aadac1652b629ac377805f277dc813ff429,93734399534950000000000
0xb2be6744a14173912d087e37c94073c6ccd951cb,93649266403579974064128
0x9ea950db3fb712f5aca4521925d33e162bf2930a,93348406001310000000000
0x497ccf666b25f1193153c5875cde72140f4b4c5d,92664748000000000000000
0xdb3ded7731c781224ec292e2163d9554c094fd7c,92281943070560000000000
0x609c9c8529c868f07728852800dfdde5d6b31956,91842000000000000000000
0xc13419ee66a7ac3e0695fec0bfd800ca320fec6b,90512230000000000000000
0x45cafef7b55bd9e3f8fc16dc2deaffd7e7f4ce88,88318370052600000000000
0x53103795fd1a377f9b7ffe46b459b1cc67061522,87905934000000000000000
0xe0d76817fccc4e7b3240c471017e258ff6de0aee,86165653000000000000000
0x8ef4c165ead32c95cb1595a6d1036610f78a077d,84009106298140000000000
0xe0526bff2aeacbe5dd2a0c98b0276144d14f932a,81562480000000000000000
0x10df938d201670f855157a34a32864729b45c7ea,81554908000000000000000
0x12c7435a8b725d845ca2b1b64fa43b404cfddd05,80297212563460000000000
0xd5c5170abd9bd0be1e8783166a46521c685d23b7,80091724500000000000000
0xf147528f482b8ce87648026f93067cdd316ef167,79053137000000000000000
0x09dd7b7dc31e8bcaee6d8dbca3e5162cabfcdcb8,76141020000000000000000
0x8ba6e1d513fd4b560ce2df120608c37c33d7d365,75552357999999990104064
0xdb2c4c44e1bd76cf62814e4b9967f64a0ed814c6,75070720320000000000000
0x6914c2b6749ace2f1de0b1bcdf64b231db0e058e,74287675490750000000000
0x7a83f35c3857bf0cb1f9495435338dd70bc81bc3,73754164000000000000000
0x4fde0dc7e7020225f7bee60394ba454ad6f4934c,72699030000000000000000
0x51213dd3f6774d10611c3709c44c52cbd4fde793,68755320199999999982569
0x08151d144b50553d220fe53002cee0335d0df668,67116323700000000000000
0x3e595694c4284f9dc89555e2c2ea37fa445a00e4,66427710857600000000000
0xa9623d7b245ead78ce8d1a6953d5803212ef9816,66081607397720000000000
0x48ddf6d748aed851a19aa33916b3d05f179a18d5,64452426800000000000000
0x5049c322307d019915715acff5a52727c2fd9851,64071000000000000000000
0xb16731ca39b5d90bd0521e3edca94ce8c3725657,63371553000000000000000
0x135d0ed66301573a70c989333277e36a79330d96,60917787727020000000000
0x26f564d49cb704fac7f57cf3fa17eba3343e0338,59999610200000000000000
0xd74926d621da12fb92547352cec94ad9f5781450,59507800000000000000000
0x67d9042e81905ec8776b55edb363cf8d810b173f,58493994000000000000000
0xcbed523fb71be0a6aed2ec8ab9e8fdf7baf4f6c0,57474336000000000000000
0xd653849100fa1a5f19a4bdc385789300172d69ca,56912430721870000000000
0x9ea0e565e92946c0ec23134604d2d9ed9688c3a5,56582714000000000000000
0x1fa949ae5197e81523c53cd748a590541227f17e,56550112502000000000000
0x091f7cce3ef2fbf1adeb68ba3e15cb47fad0270f,56111812600000000000000
0x5a1f97e9574c0c66a8e114ee04bb59912cf4d2ac,55739250000000000000000
0x5eecc7985aa4f5730ad90062bd7be77ba1eff6d3,55629731800000000000000
0xa2a54f4b8375b576283405dfe67dd9a2f375ee14,55255700000000000000000
0x14dfc1b5b966b9b2904471b8dd1272767c1382fb,55037467551760000000000
0x97a4c4515c3fd15e7e5679856357cdd4dc9075f5,54675000000000000000000
0xbc2c39f478aa3073b2621c9cb51ba728e44325e1,54029132366130000000000
0xde18d830347411c39311964f43bc4fd864b54c3b,52497026000000000000000
0xa1244f21348df6a2b34f6cf34df9ba1de5964ec6,50478000000000000000000
0xa9607e6de683d6cd7bb5b11aff008b8b558061fc,50016091000000000000000
0x34b2e2cd3868d85c5b6ead12ae5cee3b44cc73d1,48421000000000000000000
0xcdc95a137f6d6c81d46cab67826b3f209002261a,47308703456310000000000
0x85bda7199edb65eed4f67aa0d52fe3816b243deb,47011172500000000000000
0x75dea7ef89490684957bb021d9cff88aa9877f63,45779000000000000000000
0x3205d73745ae303e63c421b6703f03e127d4a92b,45626953636080000000000
0xcf7441343ad2060a3d77ff6b09ade47f8f1283b3,43990000000000000000000
0x0852709bf9c95fd322ca8000b93c9ce7bf0a9963,43455596362000000000000
0x001564c8db025288ef87ad9711b0e58cd4c7c0f7,43151760520000000000000
0xeb29ea53419ffd1d497af99eb1037d03ba63baf3,42007258550250000000000
0xc8760c901e18206ea8673288865c2381918b1390,40925516739160000000000
0xabd20852b58c73d7d83c1e1ef9cc569822ab4096,40159502000000000000000
0xfb3a4b79aaadc9e95e5f4ee6689bd4aa0be12fb5,40084824051616607627963
0xd5e82e5e5724a36c159d37adff3a4fbde7c3670f,40013789818740000000000
0x8492ee9adabc106bd072c7f716b5a6d30fdd85a6,39736250600000000000000
0x45642fe12434326defb96294ecd8325969b8badc,39638660000000000000000
0xa8e6d49154516bfa100f9e06b4a4b4dded5dfc34,38964000000000000000000
0xef7365a73dca5e2c40a475e82dd7d1b463777851,38836080896270000000000
0x70268bfa0639d68599ba3870238ac2bd79b9b8d6,37935177366150000000000
0x68c37f11b91e75ff5d6d5613010c59936fbfd067,37854942000000000000000
0x9bccecd8f2cfea72518a5965c69b945fbd3feedb,37850868490730000000000
0xa96be652a08d9905f15b7fbe2255708709becd09,37590450239660000000000
0xa56521e6739cd05a8f08449e6edcd3be409832ab,37234763730000000000000
0x54ba44cae109e1b27e05e4eb024821ae987fa84e,36986126303240000000000
0xb713d2439ec2d528f0e10e08d91449b0bb3ebbf2,36279110000000000000000
0xded3158a9c4b3effaab3f364188e439b6e1e8aea,36237371782500000000000
0x96d1e4a4869ebcbf4a35b9d21321ef6ed2ea787f,35488629599999999934464
0x45efa0dee56c1bd77bd4d46af11acf1c1a727042,35383829900000000000000
0xc4990a4431f38382600a1fec51a99dcbba04f6e9,35359068000000000000000
0x6574ef92b00a3da6f1f4ae5cabab6145d3f5cf2e,35089822000000000000000
0x6e322c19c36d6a80b76c5d5f5c44148fb7217dba,34925264200000000000000
0xa1e03569d7b385f805b6a528c2b02dc1cabd5e8f,34181403235080000000000
0xff751c562594aa381f6274b4b15cf2e0e84b84c1,33551977000000000000000
0x1910cd5336003bb4422432c57e5cc3d2aecf3b4f,33501588045950000000000
0xa2279adaf97d96879da7e86d8992d09373b1ced8,33431854274040000000000
0x808bd86aff7ce1f3ff20368c3a1c4cd8d695d8bd,33369319989460000000000
0xcc362d90be3f62748c0efbfaa991516d6116a317,33302140030000000000000
0xb5f88c01ed81d7289ad9a00be04c899c09d1be84,32766859972930000000000
0x14e76f21f2049b7cc454d9b7e1deaabded7e1603,32752790399990000000000
0x35e418db7861e8587d3cfade5b76537f819a2755,32468495336670000000000
0xcd7d734061a0156f66f39dc7fe00a1ba127b93aa,31578338000000000000000
0x5ef0af4d84d85a61b7f07be83d6edfe8b9f09264,31553120000000000000000
0x3668eaad27cdd2abdfab5c0e7556b30b5cca02a2,30919849000000000000000
0x3119f3597f7c94668f07178770c0b6cb11938b8d,30315879000000000000000
0xfe0f6cec14b9af7dc71084d1443219115aa99832,30028925000000000000000
0xdf314d9d97399f7eae4629b65657e816416a06b2,29827116000000000000000
0x562b6797fb88c491d0091e7f9975af48ae5f8086,29430810000000000000000
0x27a04756601c8c918e0539b6ac94a983bd33c8fe,29359068401620000000000
0x2c577c2e60cc6523d8042aab3aff526bc709db15,29273000000000000000000
0x58008aa92b6de1c672249e954068be4dc7738e66,29223680000000000000000
0xe96006451c7c40bdbf0d569443ff2107b4c727a4,29199296500000000000000
0x01a6f6caaf1f16c7d8912f4f7cffbae1abbf7822,29173000000000000000000
0x4b3f5b3862d5367e1de6d9a42cf11c6b35eb08dd,28824068000000000000000
0x90b6d9d101998000c023ec9185ab09904394da32,28609407654610000000000
0x58f2d3ff3864d4b8582e8c9f61b616f2be9224a7,28291447580000000000000
0x8170311b08c8a36e1687a54470fb8e6e2b4e5c1b,27945840000000000000000
0x4786fc5cd0186ca7a283d08ae0bd021e78b4bd29,27866643227600000000000
0x05abbae89b5fa0b6415083ed9c7b25aa65d8e9f3,27846103000000000000000
0xbca33005b4dbc8717efce7f01b06c890126c8ee9,27607386000000000000000
0xdf488dc28f0939be4877daa4a4eebf9e724387bb,27352880000000000000000
0x3ff19baea007b2f0f74dd1dcb4e7a24b7bdcbdfb,27184928304112154622969
0x99ec9e88208fa4702e2b2c489d789405d3761fc8,26925500000000000000000
0x395a9185a3b8cb916039a614e359cd52eea02b33,26525400000000000000000
0x45a414007e029b8332aea8b2718b4fa6a7f9b6c2,26163718575920000000000
0x2ce5ab998f479ccc49f3cdab21c61cc28a9b8490,25787276000000000000000
0x6bf18baf7819bd6232879d1cef883caf2dcf7e95,25748294039600000000000
0x91ad238549193acc27913f3e076a029bdaddfa6b,25740171352450000000000
0x4e8d3f495fbd45541dfe0957519dd6d9825f1761,25468145028920000000000
0x30103a71cbe9c8d965c4d6c86a1673160c647b32,25397368000000000000000
0x9582209a80aa363d3501c26a7d752af99bd49904,25090949800000000000000
0x3ce8cffb0706991ed276b3eb27d7d9c384ef7954,24927686582947232963009
0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,24909185440700000000000
0x7fc724169bfd8a55baf36ae37405092fce95f4ef,24641525300000000000000
0x1879851f0f89b14df436abf42814575060faefa1,24326879000000000000000
0x8112d9298ca8dc8fe795d48c05980ca0994e6c71,24214563629480000000000
0x9e8b6d994da0b41a0833edf3566c83729de732ae,24030741600010000000000
0x20516e530c4060805ecefac28896abc50f5a8af6,23257640000000000000000
0x33e02a6994aafe3961fc12e10167a42e82629496,22827909700000000000000
0x4c422bd28125a7f092228a4b8382779be0235b26,22748654672900000000000
0xae494661a1c01a5570963e38a613087cba748c8f,22718798600000000000000
0x093d33e8badf9604257a9f6710d643a192741a6e,22654066411040000000000
0x200e4bb2a43c93bd534cbbae4ad8923c4f8c4f8b,22415520000000000000000
0x9f5ea6af1ce2e330c369b67bf31bdccc1e9a1123,22303478190000000000000
0xde07bfacec341b1da70a1d2c4f519a87b9b6a51e,22149000000000000000000
0x36a953125a59f796d9c45798b571a9d4dc4f7991,22147916000000000000000
0xdc08a0bae372ddeae476f4e8377bc8178c6e8ddc,21792033500000000000000
0x29ce69b33945c5833abfbef158288b53bb20c2b5,21672000000000000000000
0xd3cb20c05362e308359e4a545e6f5939eb5089a9,21613556514920000000000
0x51e79ea88129bfe606e59f657029fde222fd370a,21279108574200000000000
0x889d33097e61db7146b7d04d7eb69cc5c548bdea,20762699500000000000000
0x6d9c09bae58e32c07471c8b1a58f05a0017456d9,20654944400000000000000
0x25fcc74e83ee7e6a9cc0b2c0286fad83a9ce2c51,20559665600000000000000
0x277c9151001acf0c781780bdb271692e4b1ebaf7,20383131701090000000000
0x02faadcf229457412c302e7374edb28b4999a128,20260458100000000000000
